airlineName,monthlyLoss
Delta Air Lines  ,458856.38
Unnamed Airline,380139.2
Southwest Airlines  ,358010.38
UAL  ,307360.36
American Airlines  ,296552.5
USAir  ,161940.2
Jet Blue,131257.6
Continental Airlines  ,114641.86
Alaska Airlines  ,104456.96
AirTran Airlines,60612.94
Frontier Airlines,46672.96
British Airways  ,28602.53
Spirit Airlines,28239.85
Virgin America,27838.19
Hawaiian Airlines  ,25847.92
Allegiant Air,22595.11
Lufthansa  ,22262.33
Virgin Atlantic,19974.61
Air Canada,15834.98
Westjet Airlines Ltd  ,15529.99
Cathay Pacific - CX,12634.35
Asiana Airlines,9394.82
Qantus Airways  ,8201.94
Turkish Airlines  ,7098.96
Emirates,6005.36
Korean Airlines  ,5894.77
Carribean Airlines,5796.04
Singapore Airlines  ,5562.48
TAM airlines,5277.45
Scandinavian Airlines Systems  ,5178.67
Iberia Airlines,4731.5
Air France,4539.28
Horizon Air,4257.66
Sun Country Airlines Inc  ,3695.43
EL AL Israeli Airlines  ,3541.63
Swiss Air  ,3440.14
Alitalia  ,3133.23
Volaris Airlines,3130.38
Air Berlin,2999.23
EVA airlines,2892.54
Austrian Airlines  ,2619.86
Iceland Air  ,2538.29
Aero Mexico,2390.28
Copa Airlines,2304.27
American Eagle  ,2298.97
Northwest Airlines  ,2251.07
Lan Airlines,2219.43
Philippine Airlines,2212.05
Avianca  ,2098.37
Air India,2075.79
Aero Flot,1948.57
KLM Royal Dutch Airlines,1815.08
Arik Airlines,1757.22
vivaAerobus,1715.53
Direct Air,1661.87
Thai Airways  ,1578.2
Qatar airlines,1502.68
Midwest Express Airlines  ,1486.5
TAP Portugal,1478.09
Etihad Airways,1476.83
Island Air,1405.69
Jet Airways,1169.82
V Australia,1129.36
Western Pacific Airlines Inc Westpac  ,1116.19
Air Pacific  ,1108.3
Porter Airlines,1045.33
South African Airways  ,1037.9
Cape Air  ,923.81
TACA airlines,871.45
Mesa Airlines,836.33
Aeroflot Russian International,832.98
Skywest Airlines Inc USA  ,824.43
Air China,796.05
US Express,675.74
Vision Airlines,671
Japan Airlines  ,655.84
OMNI Air Express- (OY),648.96
Aer Lingus,581.98
Mexicana  ,562.34
Ethopian Airlines,556.43
Virgin Express  ,552.5
Transaero Airlines,547.4
Kuwait Airlines  ,525
Hainan Airlines,500
China Eastern Airlines  ,495.97
SunWing Airlines,442
Great Lakes Airline,404.19
Royal Dutch Airlines  ,400.99
Saudi Arabian Airlines  ,399
Aerolineas Argentinas,396.43
KLM Royal Dutch Airlines  ,394.68
Air Jamaica  ,385.58
Condor Air,383.79
All Nippon Airways  ,371.17
Royal Jordanian Airline  ,370
JALways Airlines,346.98
Air Europa,332.65
China Airlines  ,329.5
XL Airways,324
America Trans Air,307.09
Croatia Airlines  ,279.95
Delta (Song),244.21
Egypt Air  ,236
Southeast Airlines,220.94
LOT Polish Airlines  ,213.56
Pace Airlines,169.99
Continental Express Inc  ,161.28
America West  ,152.96
Aeromar,150.73
Santa Barbara Airlines,146.87
Air New Zealand,124.12
USA 3000 (U5),104.98
Polish Airlines  ,94.82
Monarch Airlines Ltd  ,83.48
Bahama Airlines  ,80
Sata,74.5
Air New Zealand  ,70
Air Tahiti Nui,70
Comair Inc  ,65.88
Thomas Cook Airline,56.38
Pakistan International Airlines Cor  ,55
Aerolitoral,48
CanJet,39
Skywest Airlines Australia  ,38
Webjet,35
ERA aviation Air,34.6
Air Belgium International S A,29.37
Finnair,24.95
Frontier Aviation Inc  ,20
Seaborne Airlines,15
Indian Airlines  ,12.99
Malaysian Airline System  ,12.5
ATA Aerocondor,8.95
Aero Costa Rica,0
Aero Lineas Mexicanas J S S A De C V,0
Aero Peru,0
AeroGal,0
Aerosvit Airlines,0
Air 2000 Ltd Great Britain,0
Air Afrique,0
Air Atlanta Icelandic,0
Air Ukraine International  ,0
Aires Airline,0
Aloha Airlines  ,0
American Central  ,0
Arika Isreali Airlines  ,0
Aviaco  ,0
Aviation Advantage Inc,0
Brit Air  ,0
Cameroon Airlines  ,0
Canadian Airlines  ,0
Cayman Airlines  ,0
China Southern Airlines  ,0
Cubana  ,0
Eurowings  ,0
Go,0
Guyana Airways Corporation  ,0
JAT  ,0
Kuwait Airways  ,0
Liat Airlines,0
Malev Hungarian Airlines  ,0
Martinair,0
Maxair,0
Middle East Airlines  ,0
Midway Airlines  ,0
Montair Aviation Inc  ,0
North American Airlines,0
Pacific Southwest Airlines Inc  ,0
Pan American Airways Corp.,0
Reno Air  ,0
Royal Air Maroc,0
Ryan Air ,0
Silverjet,0
SonAir,0
Surinam Airways,0
Travelspan,0
Xtra Airways,0
Air Botina,0
Czech Airlines  ,0
